,text,label
76,"When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die.  This is study after study making this point.",1
77,There are not cuts to Medicaid in the GOP health care proposals.,0
78,"The Senate bill hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.",1
79,"I can say that the people that have been hired (for the independentRussia investigation)are all Hillary Clinton supporters, some of them worked for Hillary Clinton.",0
80,Most likely the primary control knob (for the earths temperature) is the ocean waters and this environment that we live in.,0
81,Chinese lunar rover finds no evidence of American moon landings.,0
82,Obamacare has led to fewer health insurance options for millions of Americans.,0
83,Trump welcomes Jamaica as a U.S. territory,0
84,"The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. Thats higher than Os #s!",0
85,"The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.",1
86,There are currently 6 million jobs available in this country that are due in part to the skills gap.,1
87,"Says Loretta Lynch was part of a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.",0
89,Two million more people just dropped out of Obamacare. It is in a death spiral.,0
91,"Rare is the president whos passed more legislation, whos done more things than what weve done, between the executive orders and the job-killing regulations that have been terminated.",0
92,"While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.",1
93,"China will be allowed to build hundreds of additional coal plants. So we cant build the plants, but they can, according to this (Paris) agreement.",0
94,"Since the fourth quarter of last year until most recently, weve added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.",0
95,A majority of President Trumps supporters and voters wanted (the United States) to stay in the Paris Agreement.,0
96,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is no reason to be alarmed! ,0
97,Syria and Nicaragua are the only nations that didnt sign the Paris Agreement. Nicaragua said it wasnt tough enough.,1
98,Says President Donald Trumps budget gives a $100 billion tax break to three of the wealthiest families.,0
99,"Says Pat Robertson said, We must impose a rule on the gay population that would require them to wear specially-colored clothes.",0
0,Many of the countries in question (in Trumps travel ban) dont even have a U.S. embassy there to help us vet.,1
1,Deals struck on his first foreign trip as president made and saved millions of jobs.,0
2,"This year, a majority of states are seeing premiums and costs double under Obamacare.",0
4,You can see visits to Moscow made during the campaign by (Paul) Manafort and others.,0
5,President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.,1
6,"The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.",1
7,Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.,1
9,The federal tax code includes deductions for birds flying across America.,1
10,Says James Clapper and virtually everyone else said there is no collusion in the Russia investigation findings.,0
11,This Russia thing with Trump and Russia is a made-up story. Its an excuse by the Democrats for having lost an election that they shouldve won.,0
14,Nobody on Medicaid will have their benefits taken away.,0
15,Nobody dies because they dont have access to health care.,0
16,"Says John Quincy Adams said, If your actions inspire others to dream more, learn more, do more, and become more, you are a leader.",0
17,"Under the House Republican health plan, sexual assault is a pre-existing condition.",0
18,Dems want billions to go to Insurance Companies to bail out donors,0
20,40 percent of American households have female primary breadwinners.,1
21,General Flynn got his clearance from the Obama administration.,1
22,China account(s) for 90 percent of North Korean trade.,1
23,"For the first time in the modern political era, we have confirmed a new justice in the first 100 days.",1
24,The tax plan rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).,1
25,"Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.",1
26,The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,0
27,Says President Donald Trump has given more financial disclosure than anybody else.,0
29,Trump has worked with Congress to pass more legislation in his first 100 days than any president since Truman.,1
32,Trumps Cabinet is more white and more male than any first Cabinet since President Ronald Reagans.,1
33,The single-largest expense in over half of American households is child care.,0
34,"Back when they did NATO, there was no such thing as terrorism.",0
35,Illegal immigrationon the U.S.-Mexico border is the lowest in 17 years.,1
36,No administration has accomplished more in the first 90 days.,0
38,Hate speech is not protected by the first amendment.,0
39,Says President Donald Trump as a candidate mentioned WikiLeaks over 160 times in speeches in the last month of the campaign.,1
40,I have not called for impeachment of President Donald Trump.,0
43,The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!,0
44,"When Trump won, we had the lowest voter turnout in 20 years.",0
46,"The Obama administrations 2013 Syria proposal had no clear objective, while Trumps Syria strike had a clear strategic objective.",0
47,"Before the presidential campaign, I didnt know Steve (Bannon).",0
49,Says Adolf Hitler didnt even sinkto thelevel of using chemical weapons.... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.,0
52,It is unusual for a White House official like former National Security Adviser Susan Rice to make unmasking requests.,0
54,The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. Thats what she said. Go look it up.,0
55,"There was a very large infrastructure bill that was approved during the Obama administration, a trillion dollars. Nobody ever saw anything being built.",0
56,"When you look for a job, you cant find it and you give up. You are now considered statistically employed.",0
57,"Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.",1
58,215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers.,1
59,"Just last May, the Department of Justice inspector general found that these (sanctuary city) policies also violate federal law.",0
60,"In fact, if you add up the net wealth of his cabinet, it has more wealth than a third of the American people total -- close to 100 million people.",1
61,More than half of Planned Parenthood facilities are in rural or medically underserved areas.,1
62,"Since China joined thats another beauty the WTO in 2001, the U.S. has lost many more than 60,000 factories.",1
63,The vast majority of marketplace enrollees have experienced no average premium hike at all.,1
64,Says President Donald Trumps proposal to allow Americans to buy health insurance across state lines would make it the same as the way you buy car insurance today.,0
65,Says Paul Manafort played a very limited role in the Trump presidential campaign.,0
66,"In year No. 1, 14 million Americans lose coverage, according to the CBO.",1
67,"Since the day of my election, weve already cut illegal immigration at the southern border by 61 percent.",1
68,"Wealthy foreigners can obtain visas through a special program, but only a small number invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.",1
69,Theres no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.,0
71,The NSA and FBI tell Congress that Russia did not influence electoral process.,0
72,"Germany owes ... vast sums of money to NATO  the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!",0
73,Says the New York Times wrote about Barack Obama wiretapping Donald Trump during the election.,0
75,The House Republican health care plan doesnt get rid of Medicaid expansion.,0
76,"In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.",1
78,"One-third of the counties  think of it, one-third  only have one insurer left on the Affordable Care Act exchanges.",1
79,"The number of individuals who actually got coverage through the exchange who didnt have coverage before, or who werent eligible for Medicaid before is relatively small. So weve turned things upside down completely for 3 million, or 4 million, or 5 million individuals.",0
81,"The Obama administration said they were going to be able to drive folks away from one of the most expensive areas for the provision of health care, and that is the emergency rooms. In fact, they did just the opposite.",1
82,Carbon dioxide is not a primary contributor to the global warming that we see.,0
83,"The GOP health care plan gives $275 billion in tax breaks for the top 2 percent, people earning $250,000 a year or more.",1
84,"Under the Affordable Care Act, some people were gaming the system by paying for nine months of insurance, get 12 -- the other three for free.",0
85,"Says 70 percent of benefits in Donald Trumps proposal for child care go to the people making over $100,000 a year.",1
86,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.",0
87,Everybody acts like President Trump is the one that came up with this idea. ...There are multiple news outlets that have reported former President Barack Obama ordered wiretappingon Trump.,0
89,Ive been on the Armed Services (Committee)for 10 years. No call or meeting w/ Russian ambassador. Ever.,0
90,"According to data provided by the Department of Justice, the vast majority of individuals convicted of terrorism and terrorism-related offenses since 9/11 came here from outside of our country.",0
93,Says his budget calls for one of the largest increases in national defense spending in American history.,0
95,Political activists are being paid to protest members of Congress.,0
96,Says Donald Trump wants to eliminate overtime pay for people.,0
97,The National Debt in my first month went down by $12 billion.,0
99,"Look at whats happening last night in Sweden. Sweden, who would believe this? Sweden. They took in large numbers. Theyre having problems like they never thought possible.",0
1,"The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.",1
2,The media has a lower approval rate than Congress.,0
4,"In the past few weeks, President Donald Trump pointed out Iranian violations on ballistic missile tests. By the way, these ballistic missiles are inscribed in Hebrew, Israel must be destroyed. ",1
5,"Before the Affordable Care Act, (West Virginias) uninsured rate for people 64 to 19 was 29 percent. Today, it is 9 percent.",1
6,Im calling into question the accuracy of the ruling. The district judge in Seattle said there was no indication of terrorism from these seven countries in our country.,0
7,"Of 1 million green cards issued a year, almost none of those green cards are based on job skills or demonstrated economic needs.",1
8,Israel cut its illegal immigration rate by 99 percent by constructing a 143-mile fence along its southern border.,1
9,"Says 72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA  YEMEN.",1
10,"This issue of busing voters in to New Hampshire is widely known by anyone whos worked in New Hampshire politics. Its very real, its very serious.",0
11,"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!",0
13,Says CNNs Chris Cuomo never asked Sen. Richard Blumenthal about Blumenthals misstatements on his own service in Vietnam.,0
14,"Back when Ted Cruz called Mitch McConnell a liar on the floor of the Senate floor, nobody invoked Rule 19 to censor him.",1
15,The murder rate in our country is the highest its been in 47 years.,0
16,Smart! Kuwait issues its own Trump-esque visa ban for five Muslim-majority countries. ,0
17,"ISIS is already using the rhetoric from the Trump administration, the text of this executive order, to incite attacks against us and to recruit more terrorists to their side.",0
18,Terrorism and terrorist attacks in the United States and Europe have gotten to a point where its not even being reported.,0
19,Says 109 people out of hundreds of thousands of travelers were affected by the immigration executive order.,0
20,"Two Iraqis came here to this country, were radicalized and they were the masterminds behind the Bowling Green massacre.  It didnt get covered",0
21,"This is longest that the nation has gone without a secretary of the Treasury, at least in modern times. If its not the longest, its darn close to it.",0
22,About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.,1
24,Says Neil Gorsuch comes down on the side of felons over gun safety.,0
25,Wall Street comes out en masse with its money against House Democrats every election.,0
26,The Taliban went after and murdered people identified in the Chelsea Manning leaks.,0
27,The Obama administration issued an 11th-hour rule that entrenches federal family planning funding for Planned Parenthood.,1
28,The language thats part of the presidents National Security Council memo is identical to the language used by President George W. Bush in 2001 and President Barack Obama in 2009.,0
29,Heres the fact:The No. 1 source of income into Mexico are Mexicans working here and sending the money back.,0
30,My policy is similar to what President Obama did in 2011 when he banned visas for refugees from Iraq for six months.,0
32,"If you were a Muslim, you could come in, if you were a Christian, it was impossible.",0
33,SaysRex Tillerson wont divest from Exxon.,0
34,A poll just came out on my inauguration speech.  People loved it. Loved and liked.,1
35,Says ICE and border patrol officers unanimously endorsed me for president.,0
36,"Not one dime of the tax cut that they are going to enact with the repeal of Obamacare will go to people who make under $200,000.",0
37,"One hundred and ninety-four countries signed the Paris Agreement to control greenhouse gases. Our own voluntary agreement to accomplish the same goal  the Under2 MOU  has 165 signatories, representing a billion people.",1
38,Say George Soross money went straight into the (Womens March) protesters pockets.,0
39,Theres one (study) that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.,0
40,There has been a dramatic expansion of the federal workforce in recent years.,0
41,"In 2015, homicides increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.",1
42,"In our nations capital, killings have risen by 50 percent.",0
43,The media ... sort of made it sound like I had a feud with the intelligence community.,0
44,"That was the largest audience to witness an inauguration, period.",0
45,Weve made other countries rich while the wealth ... of our country has dissipated over the horizon.,0
46,Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011.,0
47,"I would imagine that theresprobablya gun in theschool (in Wapiti, Wyo.) to protect from potential grizzlies.",0
48,The inauguration of Donald Trump will be the first one that I miss since Ive been in Congress.,0
49,"By funding the authorization thats already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trumps campaign pledge to secure the border.",1
50,"Says Georgias 5th congressional district, represented by John Lewis, is in horrible shape and falling apart (not to mention crime infested).",0
53,House GOP rules package bars CBO from counting spikes in deficit spending spurred by an ACA repeal.,0
54,"I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",0
55,The same 3 senators who have spent the last 3 years s-------themselves over Benghazi! just introduced a bill to reduce embassy security by 50 percent.,0
56,Americans dont care at all about Donald Trumps tax returns.,0
57,"The Russians tried to hack the Republican National Committee, and they were unable to break through.",1
58,"Of Sen. Jeff Sessions, youve objected to immigrants volunteering to serve in our armed forces, saying, In terms of whos going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?",1
59,About 8 out of 10 favor changing Obamacare significantly or replacing it altogether.,1
60,"Says Donald Trump campaigned on not cutting Medicare and Social Security, but his nominee for the Secretary of Health and Human Services, Tom Price, made his career on cutting Medicare and Medicaid.",1
62,Activities by foreign governments had absolutely no effect on the outcome of this election.,0
63,"In 2009, Mitch McConnell was the person thats saying, Hey, we should get all the ethics information in before we do the hearings. ",1
64,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border.,1
65,"On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.",1
66,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",0
67,Says Rex Tillerson sued to keep a fracking project out of his backyard.,1
68,"We had a massive landslide victory, as you know, in the Electoral College.",0
69,Theres been no conclusive or specific report to say Russia was trying to muddy the election.,0
71,Says Donald Trump won more counties than any candidate on our side since Ronald Reagan.,1
72,"On Donald Trumps plan to cut federal funding to sanctuary cities, because of a decision by the Supreme Court, no presidents in a position to cut off funding across the board. It has to be very specific to the matter at hand.",1
73,Says he won the popular vote if you deduct the millions of people who voted illegally.,0
75,"President-elect Trumps immigration policies are very similar to policies that are sitting right in the Senate and the House today to temporarily suspend immigration from countries that harbor terrorism, to temporarily suspend immigration from Syria until we get better vetting.",1
76,Says John Bolton supported the Iraq War and said last year thatI still think the decision to overthrow Saddam was correct.,1
77,"Donald Trump Protester Speaks Out: I Was Paid $3,500 To Protest Trumps Rally. ",0
78,"Financial conflict-of-interest laws dont apply to the president, right? So, the president doesnt have to have a blind trust.",1
80,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.,0
81,The @nytimes states today that DJT believes more countries should acquire nuclear weapons. How dishonest are they. I never said this!,0
82,Final election 2016 numbers: Trump won the popular vote.,0
83,"Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back.",0
84,"Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. Its true. I get far bigger crowds.",0
86,Nearly one in four people in their prime working years are not working.,1
87,Spanish was the first European language spoken in this country.,1
88,"Under Donald Trumps tax plan, 51 percent of single parents would see their taxes go up.",1
89,"Says that at a campaign rally President Barack Obama spent so much time screaming at a protester, and frankly it was a disgrace.",0
91,I have tremendous support from women.,0
92,FBI confirms evidence of huge underground Clinton sex network.,0
93,The media never show crowds.,0
94,Says Donald Trump wants to undo marriage equality.,1
98,"In many instances, (peoples) health care costs are more than their mortgage costs or their rent, which, by the way, is a first in American history.",0
99,"Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!",0
0,"Says of Donald Trump, He even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms.",1
2,Says Donald Trump wants to deport our Dreamers.,1
3,Says Barack Obama is the first president in modern history not to have a single year of 3 percent growth.,1
4,One of George Soros companies has provided some of the (voting) machines for some states.,0
5,Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.,0
6,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,1
7,Says FBI Director James Comeys letter about new developments in the investigation into her emails only went to Republican members of the House.,0
13,"The man who was in charge of the investigation of Hillary Clinton accepted essentially from Hillary Clinton $675,000 that went to his wife.",0
14,"Says Donald Trump was asked if he would defend our allies. He said well, first hed want to know if they made any payments to us to defend them.",1
15,"Wikileaks also shows how John Podesta rigged the polls by oversampling Democrats, a voter suppression technique.",0
16,"Says Donald Trump is the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election.",1
18,14 percent of noncitizens are registered to vote.,0
22,"Says Hillary Clinton takes tens of millions of dollars from countries that hate women, that disrespect women, that throw gays off of buildings.",0
23,Ford is moving all of their small-car production to Mexico.,1
27,The stories from women saying he groped or forced himself on them largely have been debunked.,0
29,Says Hillary Clinton is wrong to say he mocked a disabled reporter.,0
30,Says Donald Trump saidas recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.,1
31,Says Donald Trump used undocumented labor to build the Trump Tower.,1
32,"When Hillary Clinton ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen  they dont know.",0
34,Says Hillary Clintons plan is going to raise taxes and even double your taxes.,0
35,"We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.",1
36,Says Hillary Clinton wants to have open borders.,0
38,"We have 33,000 people a year who die from guns.",1
39,Heroin .. pours across our southern borders.,1
40,State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.,0
41,"Back in the Great Recession, when millions of jobs across America hung in the balance, Donald Trump said rescuing the auto industry didnt really matter very much. He said, and I quote again, Let it go. ",0
42,"Many of (Hillary Clintons) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.",0
43,Says Warren Buffett has publicly said his secretary should not be paying a higher tax rate than him.,1
44,"Says Hillary Clinton was let off the hook for her email scandal while Gen. David Petraeus had his life destroyed for doing far, far less.",0
45,"Of course, there is large scale voter fraud happening on and before election day.",0
46,"Workers in the United States are making less than they were almost 20 years ago, and yet they are working harder.",0
47,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,0
48,We dont have any chess grandmasters in the United States.,0
49,Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi.,0
50,Weve had Muslims in America since George Washington.,1
51,"If you look worldwide, the number of terrorist incidents have not substantially increased.",0
52,"Says Ive been proven right about Hillary Clintons radical call for open borders, meaning anyone in the world can enter the United States without any limit at all.",0
53,Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.,1
54,"We are now, for the first time ever, energy independent.",0
55,"Ive gotten to see the commercials that they did on you. And Ive gotten to see some of the most vicious commercials Ive ever seen of Michelle Obama talking about you, Hillary.",0
56,"Says Sidney Blumenthal wrote that the Benghazi attack was almost certainly preventable. Clinton was in charge of the State Department, and it failed to protect U.S. personnel and an American consulate in Libya.",0
57,Says Hillary Clinton set aside environmental and labor rules to help a South Korean company with a record of violating workers rights set up what amounts to a sweatshop in Haiti.,0
58,Says Hillary Clinton viciously attacked women abused by Bill Clinton.,0
59,I was gone when there was a red line against Syria.,0
60,ICE just endorsed me.,0
61,"We have an increase in murder within our cities, the biggest in 45 years.",1
62,"Says after Hillary Clinton helped a man accused of raping a 12-year-old, shes seen laughing on two separate occasions, laughing at the girl who was raped.",0
63,You can look at the propaganda on a lot of the terrorists sites and what Donald Trump saysabout Muslims is used to recruit fighters.,1
64,"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",0
65,"These are radical Islamic terrorists, and (Hillary Clinton) wont even mention the word.",0
66,Says Hillary Clinton wants to go to a single-payer plan for health care,0
68,Right now we are at 90 percent health insurance covered. Thats the highest weve ever been in our country.,1
69,"Says he has a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required.",0
71,"Says Hillary Clinton promised, running for the Senate years ago, 200,000 jobs for upstate New York. ... Not only didnt they come, but they lost so many jobs.",1
72,In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.,1
74,Says Donald Trump hasnt broken his promise to release his tax returns.,0
76,"Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.",1
77,Says Philando Castile had been stopped by police 40 or 50 times before that fatal incident.,1
78,Says Donald Trump never said that more nations should get nuclear weapons.,0
79,Says Hillary Clinton and Tim Kaine want to expand (Obamacare) into a single-payer program.,0
80,Donald Trump would engage in a risky scheme to privatize Social Security.,0
82,10 cents on thedollar from the Clinton Foundation goes to charitable causes.,0
84,Says Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement.,0
87,"The Great Recession emerged in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.",0
90,"These people that we were going to deport for good reason ended up becoming citizens. Ended up becoming citizens. And it was 800. And now it turns out it might be 1,800, and they dont even know.",1
91,Say photographs of Hillary Clinton at the debate show what could be an earpiece.,0
92,"Says no, youre wrong, responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.",0
93,"Says to Hillary Clinton, You heard what I said about (the Trans-Pacific Partnership trade deal), and all of a sudden you were against it.",0
94,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0
95,"Says Hillary Clintons plan would bring in 620,000 refugees in her first term, alone, with no effective way to screen or vet them. Her plan would cost $400 billion in terms of lifetime welfare and entitlement costs.",0
96,"In New York City, murders are up.",0
97,Says Hillary Clintons energy agenda will cost the U.S. economy over $5 trillion,0
98,Says top Clinton advisers were pressing birther movement stories very hard.,0
99,The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.,0
0,Interior deportations under Obama were down 40 percent and at a nine-year low.,1
1,Says he saw videotape of the people taking the money off the plane to pay ransom to Iran for hostages.,0
2,"Hillary Clinton says she wants to, raise taxes on the middle class. ",0
4,Youth unemployment is through the roof.,0
5,"The Trans-Pacific Partnership knocks out 18,000 tariffs that other countries place on American products and goods.",1
6,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,0
7,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.,1
8,Says Donald Trump is going to go out and carpet bomb the Middle East.,0
9,"As usual, Hillary  the Dems are trying to rig the debates so 2 are up against major NFL games.",0
10,"Says, regarding the presence of classified information in her email, FBI Director James Comey said my answers were truthful, and what Ive said is consistent with what I have told the American people.",0
